pkey,HRYEAR4,PWSSWGT,n_y1_teach,n_y2_obs,n_y2_nonsummer,leaver
028078104160030|79001|1|24061,2005,3601.5017,4,4.0,4.0,1
167199799800996|79001|2|24061,2005,2682.694,4,4.0,4.0,0
181328066909491|79001|1|24061,2005,2934.4248,4,4.0,4.0,0
453105600800174|79001|2|24060,2005,2398.2146,3,4.0,4.0,0
561194259800962|79001|1|24061,2005,2800.754,4,4.0,4.0,0
077781580998993|79001|2|24060,2005,3054.2288,3,4.0,4.0,0
644196549800922|79001|1|24059,2005,2417.942,2,4.0,4.0,1
644196549800922|79001|2|24059,2005,2918.2498,2,4.0,4.0,0
644196549800922|79001|3|24059,2005,3013.4836,2,4.0,4.0,1
858569940459108|79001|2|24059,2005,2750.8374,2,4.0,4.0,0
918039630099106|79001|1|24058,2005,3081.4385,1,4.0,4.0,0
946058858149950|79001|2|24059,2005,2687.938,2,4.0,4.0,0
988379150679101|79001|1|24060,2005,3054.2288,3,4.0,4.0,0
960058909139580|79001|2|24058,2005,2289.381,1,4.0,4.0,0
060111590790490|79001|1|24060,2005,1129.9937,3,4.0,4.0,0
919229450459102|79001|2|24060,2005,1064.3438,3,4.0,4.0,1
929889250409105|79001|1|24060,2005,1036.3718,3,4.0,4.0,0
948009985159220|79001|1|24060,2005,1111.8,3,4.0,4.0,0
091083054909874|79001|1|24059,2005,1117.9368,2,4.0,4.0,0
353163404900974|79001|1|24060,2005,1091.3545,3,4.0,4.0,0
610907985362190|79001|2|24061,2005,1189.7312,4,4.0,4.0,0
756079926139300|79001|2|24058,2005,1232.5441,1,4.0,4.0,0
969704660046103|79001|1|24061,2005,1427.1063,4,4.0,4.0,0
992059961159260|79001|1|24060,2005,1091.3545,3,4.0,4.0,0
999220169560951|79001|1|24060,2005,975.0609,3,4.0,4.0,0
999440219600731|79001|2|24058,2005,1012.1757,1,4.0,4.0,0
999810208630731|79001|2|24058,2005,1160.648,1,4.0,4.0,0
999950986560951|79001|1|24060,2005,1035.1588,3,4.0,4.0,0
999950986560951|79001|2|24060,2005,1112.4941,3,4.0,4.0,1
021171690119306|79001|2|24061,2005,1374.1613,4,4.0,4.0,0
039321590999798|79001|1|24060,2005,1066.3839,3,4.0,4.0,0
116019197160230|79001|1|24061,2005,1249.3,4,4.0,4.0,0
116019197160230|79001|2|24061,2005,1355.7311,4,4.0,4.0,0
193944405083919|79001|2|24059,2005,1096.9213,2,4.0,4.0,0
480992062315759|79001|2|24060,2005,1102.4053,3,4.0,4.0,0
562193689900970|79001|2|24061,2005,1480.465,4,4.0,4.0,0
999580573600731|79001|2|24058,2005,947.5011,1,4.0,4.0,0
502551035908099|79001|1|24060,2005,963.2662,3,4.0,4.0,1
550609093126509|79001|1|24061,2005,1522.1934,4,4.0,4.0,0
100310940740209|79001|2|24059,2005,1398.3499,2,4.0,4.0,0
202947025906393|79001|3|24060,2005,1249.3903,3,4.0,4.0,0
850807072426169|79001|2|24061,2005,1545.4077,3,4.0,4.0,1
850907092423169|79001|2|24058,2005,1343.6029,1,4.0,4.0,0
095122500791795|79001|1|24060,2005,1113.835,3,4.0,4.0,0
099740239920732|79001|1|24058,2005,1210.0128,1,4.0,4.0,1
264404608069019|79001|1|24059,2005,1256.9482,2,4.0,4.0,0
406607182992220|79001|2|24061,2005,1414.3579,4,4.0,4.0,0
467296119000947|79001|1|24061,2005,1414.3579,4,4.0,4.0,0
802172026909462|79001|1|24061,2005,1322.1536,4,4.0,4.0,0
802172026909462|79001|2|24061,2005,1414.3579,4,4.0,4.0,0
966299969000938|79001|2|24061,2005,1516.1183,1,4.0,4.0,1
930799130769203|79001|1|24058,2005,1411.1307,1,4.0,4.0,0
960479030489201|79001|1|24058,2005,1389.9333,1,4.0,4.0,0
306704782993601|79001|1|24061,2005,1919.6819,4,4.0,4.0,0
512536086909790|79001|1|24061,2005,2167.488,4,4.0,4.0,0
260433900039178|79001|1|24058,2005,2446.08,1,4.0,4.0,0
300910069325799|79001|1|24060,2005,2272.7776,3,4.0,4.0,0
300910069325799|79001|2|24060,2005,2541.2244,3,4.0,4.0,0
135261409100948|79001|2|24058,2005,2449.883,1,4.0,4.0,0
406703962998731|79001|1|24061,2005,2426.2651,3,4.0,4.0,0
420106965070995|79001|1|24059,2005,2207.3193,2,4.0,4.0,0
608051942259380|79001|3|24060,2005,2228.663,3,4.0,4.0,0
620106933949592|79001|2|24061,2005,1873.9438,4,3.0,3.0,1
657031917254680|79001|2|24060,2005,2228.663,3,4.0,4.0,0
294986202043259|79001|1|24061,2005,3172.417,4,4.0,4.0,1
902379730779202|79001|1|24058,2005,3341.2295,1,4.0,4.0,0
299640628480952|79001|2|24060,2005,2396.0747,3,4.0,4.0,0
500126004426450|79001|2|24061,2005,4146.754,4,3.0,3.0,0
938052920239540|79001|2|24058,2005,2533.9788,1,4.0,4.0,0
972012947239510|79001|1|24058,2005,2947.086,1,3.0,3.0,1
292955505092298|79001|2|24060,2005,2772.0115,3,4.0,4.0,0
420209994473395|79001|1|24059,2005,2639.3774,2,4.0,4.0,0
983022814269110|79001|2|24061,2005,3718.3794,4,4.0,4.0,1
032544044909566|79001|3|24059,2005,432.0503,2,4.0,4.0,0
034032530691493|79001|2|24060,2005,568.7268,3,4.0,4.0,0
034212820300116|79001|1|24058,2005,481.4735,1,4.0,4.0,0
206601632995193|79001|1|24061,2005,446.8366,4,4.0,4.0,1
206705532995843|79001|1|24061,2005,502.2726,4,4.0,4.0,0
263494306056309|79001|1|24059,2005,498.7075,2,4.0,4.0,1
279935302013388|79001|1|24060,2005,582.1911,3,4.0,4.0,0
293954503043349|79001|1|24059,2005,454.0385,2,4.0,4.0,0
394310435570642|79001|2|24059,2005,481.3736,2,4.0,4.0,0
420309933144390|79001|1|24059,2005,454.0385,2,4.0,4.0,0
444296409300931|79001|2|24059,2005,401.1846,2,4.0,4.0,0
445291329300966|79001|1|24059,2005,419.1382,2,4.0,4.0,1
532106083409968|79001|2|24058,2005,466.9485,1,4.0,4.0,0
655003955239560|79001|2|24058,2005,481.847,1,4.0,4.0,0
753459330337204|79001|1|24058,2005,420.8625,1,4.0,4.0,0
904703062991393|79001|2|24059,2005,485.1749,2,4.0,4.0,0
036279139300890|79001|2|24058,2005,385.5842,1,4.0,4.0,1
054295759300874|79001|1|24060,2005,535.6852,3,4.0,4.0,0
054295759300874|79001|2|24060,2005,600.7524,3,4.0,4.0,0
078612630698043|79001|1|24061,2005,458.8512,4,4.0,4.0,1
232532083908476|79001|1|24058,2005,462.4323,1,4.0,4.0,0
232532083908476|79001|2|24058,2005,417.2409,1,4.0,4.0,0
310480780600062|79001|1|24061,2005,567.2207,4,3.0,3.0,0
389100601120942|79001|2|24059,2005,485.1749,2,4.0,4.0,0
399130524710732|79001|2|24058,2005,485.6521,1,4.0,4.0,0
793379350467208|79001|1|24060,2005,524.2107,3,4.0,4.0,0
946043889249100|79001|2|24059,2005,457.3417,2,4.0,4.0,0
299946606071407|79001|1|24061,2005,1862.644,4,4.0,4.0,0
420409916064499|79001|2|24059,2005,1752.1993,1,4.0,4.0,1
