pid,pre,post,full,n_pre_obs,n_pre_T,pre_flips
570986093411289|83001|2,TTTT,....,TTTT-....,4,4,0
571033004909060|80001|2,NUT.,....,NUT.-....,3,1,2
571280018909993|79001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
571388082807897|83001|1,TTTT,....,TTTT-....,4,4,0
571389012907795|83001|1,ETTT,....,ETTT-....,4,3,1
571389012907795|83001|2,ETTT,....,ETTT-....,4,3,1
571389013905795|80001|2,TTTT,EEEE,TTTT-EEEE,4,4,0
571486033908498|80001|2,TTNT,TTTT,TTNT-TTTT,4,3,2
571486033908498|80001|3,TTTT,TTTT,TTTT-TTTT,4,4,0
571486033908498|80001|4,EEUT,EEEE,EEUT-EEEE,4,1,2
571486035001408|83001|1,TTTT,....,TTTT-....,4,4,0
571902809089059|83001|1,TTT.,....,TTT.-....,3,3,0
571906604094689|82001|1,TNNN,....,TNNN-....,4,1,1
572275529300899|82001|2,TTUT,....,TTUT-....,4,3,2
572293074909770|80001|1,NNNT,NNNN,NNNT-NNNN,4,1,1
572430091908274|81001|2,EETT,....,EETT-....,4,2,1
572430091908274|83001|2,TTTT,....,TTTT-....,4,4,0
572449460079103|79001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
572958505092099|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
572988500097159|80001|1,TTTT,TTTE,TTTT-TTTE,4,4,0
573215330400144|80001|1,TT..,...T,TT..-...T,2,2,0
573215330400144|81001|2,TTT.,....,TTT.-....,3,3,0
573275339400644|82001|1,ETTT,....,ETTT-....,4,3,1
573918806051159|82001|2,TTTT,....,TTTT-....,4,4,0
573928504029599|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
573998001096509|80001|1,ETEE,EEEE,ETEE-EEEE,4,1,2
573998001096509|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
574026074909169|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
574026074909169|83001|2,TTTT,....,TTTT-....,4,4,0
574874083001606|83001|1,ENTT,....,ENTT-....,4,2,2
574976502052059|80001|1,TTT.,....,TTT.-....,3,3,0
576932007013149|80001|1,TNNN,TTNT,TNNN-TTNT,4,1,1
577093189600678|80001|1,TT.T,TTTT,TT.T-TTTT,3,3,0
577210030700134|82001|2,TTT.,....,TTT.-....,3,3,0
577928007061629|79001|2,TNTT,TTTT,TNTT-TTTT,4,3,2
577976208051399|81001|2,TTTT,TTUN,TTTT-TTUN,4,4,0
578576239600893|82001|2,TTTT,....,TTTT-....,4,4,0
578918102000047|79001|1,EEET,EEEE,EEET-EEEE,4,1,1
578986406070609|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
