pid,pre,post,full,n_pre_obs,n_pre_T,pre_flips
072988008069919|82001|1,TTTT,....,TTTT-....,4,4,0
072988500097859|82001|1,EETT,....,EETT-....,4,2,1
073410160990096|83001|2,TTTT,....,TTTT-....,4,4,0
073412410690046|83001|1,TTTT,....,TTTT-....,4,4,0
073471026909362|81001|2,TTTT,EEEE,TTTT-EEEE,4,4,0
073671770693096|81001|3,TNUT,EETT,TNUT-EETT,4,2,3
073926803035917|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
073962520999695|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
073965330999695|80001|2,TNNT,TTTT,TNNT-TTTT,4,2,2
074000560997395|81001|1,TTTT,TNNN,TTTT-TNNN,4,4,0
074000560997395|82001|2,TTTT,....,TTTT-....,4,4,0
074000860937395|79001|2,ETEE,EEEE,ETEE-EEEE,4,1,2
074094609200516|79001|1,TTTT,NNNE,TTTT-NNNE,4,4,0
074123580777698|83001|1,TTTT,....,TTTT-....,4,4,0
074171180999398|80001|2,TT.N,EEEE,TT.N-EEEE,3,2,1
074174570999398|80001|1,NNNT,NTTN,NNNT-NTTN,4,1,1
074770860984195|81001|2,E.TE,N...,E.TE-N...,3,1,2
074842067908291|83001|2,TT..,....,TT..-....,2,2,0
074852470783490|81001|2,TTTT,EEEE,TTTT-EEEE,4,4,0
074892230113803|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
074894440783893|80001|2,TTTT,NNTT,TTTT-NNTT,4,4,0
074894840933893|83001|1,T...,....,T...-....,1,1,0
074905008055298|81001|1,TTTT,....,TTTT-....,4,4,0
074948204005937|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
074966207041907|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
074966207041907|80001|4,TTNE,....,TTNE-....,4,2,2
074967207041905|79001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
074998203002959|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
075170710019805|83001|2,TT..,....,TT..-....,2,2,0
075642180691892|81001|1,TTTN,NUNE,TTTN-NUNE,4,3,1
075642300991892|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
075642600781892|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
075683580697590|82001|1,TTTT,....,TTTT-....,4,4,0
075882430788398|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
075882530998398|83001|1,TTTT,....,TTTT-....,4,4,0
075884760698398|82001|2,TT..,....,TT..-....,2,2,0
075952707017924|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
075958007074947|83001|2,T...,....,T...-....,1,1,0
076253590949991|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
076254120997194|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
076643550999097|83001|1,TTTT,....,TTTT-....,4,4,0
076724120976597|80001|1,TTTT,EEEE,TTTT-EEEE,4,4,0
076724680936597|79001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
076724680936597|82001|3,TTTT,....,TTTT-....,4,4,0
076744850019203|83001|2,T...,....,T...-....,1,1,0
076874580998991|81001|2,TUUU,EEEN,TUUU-EEEN,4,1,1
076874580998991|83001|1,TTTT,....,TTTT-....,4,4,0
076874580998991|83001|2,TTTT,....,TTTT-....,4,4,0
076875140698991|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
076894520992692|82001|2,TTTT,....,TTTT-....,4,4,0
076918806044959|80001|1,TTTT,EEEE,TTTT-EEEE,4,4,0
076926909051987|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
076944320928592|83001|2,TTTT,....,TTTT-....,4,4,0
076951309069235|83001|1,TTTT,....,TTTT-....,4,4,0
076951309069235|83001|2,TTTT,....,TTTT-....,4,4,0
076954380995498|83001|2,TTTT,....,TTTT-....,4,4,0
076964580997891|82001|1,TTTT,....,TTTT-....,4,4,0
077059193360020|81001|2,NENT,TT.E,NENT-TT.E,4,1,3
077164390992290|81001|2,TTTN,....,TTTN-....,4,3,1
077293510992799|82001|2,TTTT,....,TTTT-....,4,4,0
077450240985097|83001|2,TTTT,....,TTTT-....,4,4,0
077450740975097|81001|2,T...,....,T...-....,1,1,0
077501290018602|83001|2,TTTT,....,TTTT-....,4,4,0
077691320999897|80001|3,TTTT,TNNN,TTTT-TNNN,4,4,0
077722650953097|83001|1,TTT.,....,TTT.-....,3,3,0
077723180993097|82001|1,TTTT,....,TTTT-....,4,4,0
077725530993097|80001|1,TTTT,TTT.,TTTT-TTT.,4,4,0
077854800010309|81001|1,TT..,....,TT..-....,2,2,0
077950860952196|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
077951520992196|83001|1,TTTT,....,TTTT-....,4,4,0
077953510992196|83001|2,TTTT,....,TTTT-....,4,4,0
077964503069897|83001|1,TEEE,....,TEEE-....,4,1,1
077998106052899|83001|1,T...,....,T...-....,1,1,0
078154560999792|81001|1,TTTT,.TTT,TTTT-.TTT,4,4,0
078313360996595|83001|1,TTTT,....,TTTT-....,4,4,0
078610840988093|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
078612630698043|79001|1,TTTT,EEEE,TTTT-EEEE,4,4,0
078662650966891|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
078665250786891|82001|1,EETT,....,EETT-....,4,2,1
078673110994898|80001|1,TTTT,TTNN,TTTT-TTNN,4,4,0
078703160997096|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
078733610111104|81001|1,NTTT,NNNN,NTTT-NNNN,4,3,1
078733760971194|83001|2,TT..,....,TT..-....,2,2,0
078773560994297|81001|3,TTTT,....,TTTT-....,4,4,0
078882100994692|82001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
078948700085879|80001|2,TTTT,....,TTTT-....,4,4,0
079028193420430|87001|2,T...,....,T...-....,1,1,0
079051170946687|83001|2,TTTT,....,TTTT-....,4,4,0
079052830986697|83001|2,T...,....,T...-....,1,1,0
079053420986697|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
079056178480170|80001|1,TTTT,NT..,TTTT-NT..,4,4,0
079056178480170|83001|2,T...,....,T...-....,1,1,0
079060860986591|83001|2,T...,....,T...-....,1,1,0
079065560996591|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
079098179440400|83001|1,TTTT,....,TTTT-....,4,4,0
079100701300951|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
079792260981896|83001|1,TTTT,....,TTTT-....,4,4,0
079793890981896|83001|1,T...,....,T...-....,1,1,0
079810360954965|83001|5,EETT,....,EETT-....,4,2,1
079810660914995|82001|1,TTTT,....,TTTT-....,4,4,0
079812300994995|81001|2,EEET,EEUU,EEET-EEUU,4,1,1
079880572360934|81001|1,EUTT,....,EUTT-....,4,2,2
080036063908074|81001|2,TTTT,....,TTTT-....,4,4,0
080093760923997|82001|2,TTTT,....,TTTT-....,4,4,0
080134006212230|87001|1,T...,....,T...-....,1,1,0
080135096052339|80001|2,TTTT,TEEE,TTTT-TEEE,4,4,0
080168005232390|83001|3,TTEN,....,TTEN-....,4,2,2
080390509600733|83001|2,T...,....,T...-....,1,1,0
080542300999998|81001|2,TT..,....,TT..-....,2,2,0
080581830017407|82001|1,TTTT,....,TTTT-....,4,4,0
080618075234399|83001|2,TTTT,....,TTTT-....,4,4,0
080718095235399|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
080718095235399|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
080718095235399|82001|1,TTTT,....,TTTT-....,4,4,0
080792048909999|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
080835096058339|82001|2,TTTT,....,TTTT-....,4,4,0
080866097208269|79001|1,TTT.,TTTT,TTT.-TTTT,3,3,0
080892069236429|80001|1,TTTT,EEEE,TTTT-EEEE,4,4,0
080956097047209|83001|1,TT..,....,TT..-....,2,2,0
080966097203269|82001|2,TTTT,TT..,TTTT-TT..,4,4,0
080974066626194|83001|1,TTT.,....,TTT.-....,3,3,0
080974066626194|83001|2,TTT.,....,TTT.-....,3,3,0
080976097031209|83001|1,TTTT,....,TTTT-....,4,4,0
080982097141989|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
080987066035779|82001|2,TTTT,....,TTTT-....,4,4,0
081064800696540|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
081194069900710|82001|1,TTTT,....,TTTT-....,4,4,0
081472130694291|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
081475100994291|83001|1,TTNT,....,TTNT-....,4,3,2
081475100994291|83001|2,TTUU,....,TTUU-....,4,2,1
081612210698996|87001|2,T...,....,T...-....,1,1,0
081770460938395|81001|2,TTTE,EEEE,TTTE-EEEE,4,3,1
081773700698395|82001|2,TTTE,....,TTTE-....,4,3,1
081774220984295|81001|1,TTTT,EEEE,TTTT-EEEE,4,4,0
082002630694141|83001|1,TTT.,....,TTT.-....,3,3,0
082002630694141|83001|2,TTT.,....,TTT.-....,3,3,0
082003500994191|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
082003500994191|82001|1,TEEE,....,TEEE-....,4,1,1
082036068909094|81001|2,TTTT,EEEN,TTTT-EEEN,4,4,0
082303100995997|82001|2,TTTT,TT.T,TTTT-TT.T,4,4,0
082303350945997|82001|2,TTTT,TT..,TTTT-TT..,4,4,0
082372120993697|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
082374250983697|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
082650550990593|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
083042129140910|81001|1,TTTT,EEEE,TTTT-EEEE,4,4,0
083064480018007|82001|1,TTTT,E...,TTTT-E...,4,4,0
083172899900951|80001|1,TTTT,EEEE,TTTT-EEEE,4,4,0
083172899900951|82001|2,TTTN,....,TTTN-....,4,3,1
083254800966798|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
083254800966798|82001|2,TTTT,....,TTTT-....,4,4,0
083290820693992|80001|1,TTTT,....,TTTT-....,4,4,0
083290820693992|80001|2,TTNT,....,TTNT-....,4,3,2
083294220985992|82001|1,TTTT,T.T.,TTTT-T.T.,4,4,0
083464880982095|81001|2,TTTT,....,TTTT-....,4,4,0
083825700697994|82001|2,TTTT,....,TTTT-....,4,4,0
083825700697994|82001|3,TTTN,....,TTTN-....,4,3,1
083981820908396|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
084002155140840|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
084006006909795|82001|1,N..T,....,N..T-....,2,1,1
084025146160460|79001|1,TTTT,....,TTTT-....,4,4,0
084055115420290|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
084055330948894|82001|1,TTTT,....,TTTT-....,4,4,0
084102087001401|80001|2,TTET,....,TTET-....,4,3,2
084234084904497|82001|1,TEEE,E...,TEEE-E...,4,1,1
084292460010808|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
084312340994691|83001|1,TTTT,....,TTTT-....,4,4,0
084313490954691|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
084313890964691|82001|1,TTUU,....,TTUU-....,4,2,1
084314550994691|80001|2,NTTN,NNNN,NTTN-NNNN,4,2,2
084379004909997|81001|4,TTTT,....,TTTT-....,4,4,0
084507017001607|79001|1,TTTT,EEEE,TTTT-EEEE,4,4,0
084579038909599|82001|1,TTTN,....,TTTN-....,4,3,1
084703320798698|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
084703340998698|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
084703560998698|83001|1,TTTT,....,TTTT-....,4,4,0
084942360997296|81001|1,TT.T,TTTT,TT.T-TTTT,3,3,0
084948013908592|82001|1,TTTT,....,TTTT-....,4,4,0
085022139420360|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
085022139420360|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
085027139320360|83001|1,TTT.,....,TTT.-....,3,3,0
085091620936996|79001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
085091620936996|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
085093560943199|80001|1,TT..,....,TT..-....,2,2,0
085093840013109|83001|2,T...,....,T...-....,1,1,0
085415160996997|82001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
085415160996997|83001|3,TTTT,....,TTTT-....,4,4,0
085415160996997|83001|4,TTTT,....,TTTT-....,4,4,0
085415500016907|83001|1,UUTT,....,UUTT-....,4,2,1
085461670908483|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
085461820988493|79001|3,TTTU,....,TTTU-....,4,3,1
085462230988493|83001|1,TTTT,....,TTTT-....,4,4,0
085462230988493|83001|2,TTTT,....,TTTT-....,4,4,0
085462230988493|87001|1,T...,....,T...-....,1,1,0
085462340948493|80001|2,TTTT,..TT,TTTT-..TT,4,4,0
085572830698249|82001|1,TTTT,....,TTTT-....,4,4,0
085572830698249|82001|2,TTTT,....,TTTT-....,4,4,0
085573430768299|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
085573730798299|82001|1,TTTT,....,TTTT-....,4,4,0
085575430988299|82001|1,TTTT,T...,TTTT-T...,4,4,0
085642770776897|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
085645230986897|80001|1,TTNN,TNNN,TTNN-TNNN,4,2,1
085872110690592|81001|1,TTTT,....,TTTT-....,4,4,0
085872190990592|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
085872790690592|79001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
085963840980198|82001|1,TTTT,....,TTTT-....,4,4,0
086071270930884|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
086072540790894|80001|2,TTTT,....,TTTT-....,4,4,0
086110220115009|87001|2,T...,....,T...-....,1,1,0
086271290980395|83001|2,NTNE,....,NTNE-....,4,1,3
086351390790795|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
086351390790795|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
086354380920795|83001|1,TTTT,....,TTTT-....,4,4,0
086380260969191|83001|2,TTTT,....,TTTT-....,4,4,0
086384300799191|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
086542150999291|82001|1,UTTT,UNNU,UTTT-UNNU,4,3,1
086543630789291|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
086562530798992|81001|1,ETEN,....,ETEN-....,4,1,3
086563630768992|79001|2,TTTT,EEEE,TTTT-EEEE,4,4,0
086565310993594|80001|1,TUUU,UUUN,TUUU-UUUN,4,1,1
086565430018902|83001|1,TTTT,....,TTTT-....,4,4,0
086565430018902|83001|2,EETT,....,EETT-....,4,2,1
086593810785297|80001|1,TTTT,.TTT,TTTT-.TTT,4,4,0
086713510799397|83001|2,TTTT,....,TTTT-....,4,4,0
086753130990991|83001|1,TTT.,....,TTT.-....,3,3,0
086990160976394|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
086991330996394|80001|4,TTTT,TTTT,TTTT-TTTT,4,4,0
086991330996394|82001|1,NTTT,TT..,NTTT-TT..,4,3,1
086995130996394|83001|1,TTTT,....,TTTT-....,4,4,0
087012110698891|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
087412180696699|80001|2,EETT,NNNN,EETT-NNNN,4,2,1
087560260967790|82001|2,TTTT,TTT.,TTTT-TTT.,4,4,0
087560260967790|83001|1,T.TT,....,T.TT-....,3,3,0
087562310797790|83001|2,NNNT,....,NNNT-....,4,1,1
087613560922290|83001|1,TTT.,....,TTT.-....,3,3,0
087613560922290|83001|2,TTT.,....,TTT.-....,3,3,0
087613560922290|83001|3,TTT.,....,TTT.-....,3,3,0
087613560922290|83001|4,TTT.,....,TTT.-....,3,3,0
087752820985897|81001|1,TTTT,NTTT,TTTT-NTTT,4,4,0
088269939000906|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
088271420953794|82001|1,TTTT,T...,TTTT-T...,4,4,0
088271820963794|80001|1,TTTT,....,TTTT-....,4,4,0
088372500995994|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
088491560995592|81001|2,TTTN,NNNN,TTTN-NNNN,4,3,1
088511150696995|83001|2,EENT,....,EENT-....,4,1,2
088511350926995|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
088512840016905|82001|2,TTTT,....,TTTT-....,4,4,0
088513220986985|87001|1,T...,....,T...-....,1,1,0
088513320976995|82001|1,TTTT,....,TTTT-....,4,4,0
088513520926995|82001|1,TTT.,....,TTT.-....,3,3,0
088513720746995|81001|4,ENNT,....,ENNT-....,4,1,2
088524170996290|83001|1,TTTT,....,TTTT-....,4,4,0
088692120991793|80001|1,TTTT,EEEE,TTTT-EEEE,4,4,0
088692260981793|83001|1,TTTT,....,TTTT-....,4,4,0
088692680681793|79001|6,TTTT,EEEE,TTTT-EEEE,4,4,0
088692680681793|80001|1,TTTT,EEEE,TTTT-EEEE,4,4,0
088692680681793|82001|1,TT..,....,TT..-....,2,2,0
088692760971793|83001|1,TT..,....,TT..-....,2,2,0
088692760971793|83001|2,TT..,....,TT..-....,2,2,0
088694260961793|83001|2,TTTT,....,TTTT-....,4,4,0
088694260961793|87001|1,T...,....,T...-....,1,1,0
088923260013005|83001|1,TTTT,....,TTTT-....,4,4,0
088924320993095|83001|1,TTTT,....,TTTT-....,4,4,0
089220417220942|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
089260194050945|81001|1,ETEU,TTTT,ETEU-TTTT,4,1,3
089270486510982|79001|1,TT.E,TTTE,TT.E-TTTE,3,2,1
089320399530943|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
089420836120964|83001|1,TTT.,....,TTT.-....,3,3,0
089560540698396|83001|1,TTTT,....,TTTT-....,4,4,0
089600616920725|80001|2,TTTT,TTEE,TTTT-TTEE,4,4,0
089600616920945|80001|2,TEEE,EEE.,TEEE-EEE.,4,1,1
089620906790721|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
089860254230981|80001|2,NNNT,NENT,NNNT-NENT,4,1,1
089860254230981|82001|1,TTTT,....,TTTT-....,4,4,0
089890081060742|83001|4,TT..,....,TT..-....,2,2,0
089950766270785|79001|2,EEET,....,EEET-....,4,1,1
090099188220220|87001|4,T...,....,T...-....,1,1,0
090122094818609|82001|4,TTTT,....,TTTT-....,4,4,0
090173015126440|82001|1,TTTT,....,TTTT-....,4,4,0
090311300774196|82001|1,TTTT,TT..,TTTT-TT..,4,4,0
090313860954196|81001|1,TNTT,TTTT,TNTT-TTTT,4,3,2
090593580697593|82001|1,TTTT,....,TTTT-....,4,4,0
090593580697593|82001|2,TTTT,....,TTTT-....,4,4,0
090612807008621|82001|1,TTTT,EEE.,TTTT-EEE.,4,4,0
090713807008620|83001|2,TTTT,....,TTTT-....,4,4,0
090722094815609|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
090813807008621|82001|2,TTTT,E...,TTTT-E...,4,4,0
090816807008624|81001|1,TTTN,TTTT,TTTN-TTTT,4,3,1
090844099936779|83001|1,TTT.,....,TTT.-....,3,3,0
090853140994598|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
090854690964598|80001|2,TTTT,TTTN,TTTT-TTTN,4,4,0
090854790944598|82001|1,TTTT,....,TTTT-....,4,4,0
090854790944598|82001|2,TTTT,....,TTTT-....,4,4,0
090884099946779|79001|2,ETTT,TTTT,ETTT-TTTT,4,3,1
090904407061539|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
090906103071809|82001|2,TTTT,....,TTTT-....,4,4,0
090911066007359|79001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
090914405001639|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
090916403061169|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
090916405001634|79001|2,TTTT,NEEE,TTTT-NEEE,4,4,0
090922101091599|83001|1,TTTT,....,TTTT-....,4,4,0
090937307065618|82001|2,NTTT,....,NTTT-....,4,3,1
090944099931779|82001|1,TTTT,UETT,TTTT-UETT,4,4,0
090944502002249|80001|1,TNTT,TTTT,TNTT-TTTT,4,3,2
090946006014267|81001|2,TUEE,TTTT,TUEE-TTTT,4,1,2
090951076047359|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
090957805067638|79001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
090963094521879|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
090964106049849|80001|2,NNTE,NNNN,NNTE-NNNN,4,1,2
090964106049849|83001|1,TTTT,....,TTTT-....,4,4,0
090973095141449|82001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
090974095543059|83001|2,TTTT,....,TTTT-....,4,4,0
090976506098619|79261|1,TTTT,TTTT,TTTT-TTTT,4,4,0
090984907003679|83001|1,TTTT,....,TTTT-....,4,4,0
090984907003679|83001|2,TTTT,....,TTTT-....,4,4,0
090988408016699|79001|3,TTTT,EEEE,TTTT-EEEE,4,4,0
090994909002139|83001|2,TTTT,....,TTTT-....,4,4,0
091082185280380|83001|1,T...,....,T...-....,1,1,0
091233670961390|79001|1,TTTT,EEEE,TTTT-EEEE,4,4,0
091264380995091|83001|2,TTTT,....,TTTT-....,4,4,0
091794480986692|80001|1,TT..,....,TT..-....,2,2,0
091928307022559|82001|3,TTT.,....,TTT.-....,3,3,0
091974901092579|83001|2,TTTT,....,TTTT-....,4,4,0
091981501047646|80001|2,TTNN,....,TTNN-....,4,2,1
091985600022648|83001|1,TETT,....,TETT-....,4,3,2
092068184360750|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
092073151340050|80001|1,UTTT,TTTT,UTTT-TTTT,4,3,1
092194610782590|79001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
092240071906690|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
092320810983496|81001|1,TTTT,....,TTTT-....,4,4,0
092323580693496|80001|2,ETTT,EEEE,ETTT-EEEE,4,3,1
092323580693496|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
092584100990693|82001|2,ETTT,NTTE,ETTT-NTTE,4,3,1
092584160690693|80001|2,TTTU,TTTT,TTTU-TTTT,4,3,1
092635140992594|82001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
092725809058633|82001|1,T...,....,T...-....,1,1,0
092728809058637|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
092901607096996|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
092913906037428|83001|1,TTTT,....,TTTT-....,4,4,0
092915906037628|83001|1,TTTT,....,TTTT-....,4,4,0
092938501081829|82001|2,TTTT,....,TTTT-....,4,4,0
092943208035678|81001|2,TTTT,NNNN,TTTT-NNNN,4,4,0
092948208035472|81001|2,TTTT,TTT.,TTTT-TTT.,4,4,0
092956505092699|79001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
092974901060129|81001|2,NTTN,NNNN,NTTN-NNNN,4,2,2
092976800077249|81001|2,T.TT,TTTT,T.TT-TTTT,3,3,0
092987008069915|82001|1,TTTT,....,TTTT-....,4,4,0
092994307075699|80001|1,TT..,....,TT..-....,2,2,0
092995650966196|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
093040113580080|82001|1,TTT.,....,TTT.-....,3,3,0
093161052909062|80001|4,TEEE,EEEE,TEEE-EEEE,4,1,1
093171390995390|82001|1,TTTT,EE..,TTTT-EE..,4,4,0
093182500997593|83001|4,TTTT,....,TTTT-....,4,4,0
093234082907497|81001|2,TTTT,UTTT,TTTT-UTTT,4,4,0
093255450011601|80001|1,NENT,EEE.,NENT-EEE.,4,1,3
093260180994499|80001|2,TTTU,UTEN,TTTU-UTEN,4,3,1
093260340024409|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
093260340944499|80001|2,NNNT,NNNN,NNNT-NNNN,4,1,1
093260840934499|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
093261790794499|83001|1,TT..,....,TT..-....,2,2,0
093262770694499|79001|1,TTTT,....,TTTT-....,4,4,0
093263830784499|83001|1,T...,....,T...-....,1,1,0
093285081906492|80001|1,TEEE,....,TEEE-....,4,1,1
093545082909869|80001|3,TTTT,TTTT,TTTT-TTTT,4,4,0
093545082909869|83001|1,TTTT,....,TTTT-....,4,4,0
093554580691293|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
093554580691293|83001|2,TTTT,....,TTTT-....,4,4,0
093620890966697|81001|1,ETEE,NNNN,ETEE-NNNN,4,1,2
093624550696697|83001|1,TTTT,....,TTTT-....,4,4,0
093812806051659|80001|1,EETE,EEEE,EETE-EEEE,4,1,2
093904509014649|82001|1,TTTT,T...,TTTT-T...,4,4,0
093915806051653|82001|3,TTTT,....,TTTT-....,4,4,0
093917601095625|82001|2,TTTT,....,TTTT-....,4,4,0
093943700055666|81001|2,ENTE,....,ENTE-....,4,1,3
093948205006639|83001|1,T...,....,T...-....,1,1,0
093973800093618|83001|2,TNUT,....,TNUT-....,4,2,3
093974809023699|82001|1,U.TT,T...,U.TT-T...,3,2,1
093992205015639|87001|1,T...,....,T...-....,1,1,0
093997205015638|82001|2,EEET,....,EEET-....,4,1,1
094008192060970|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
094130524710621|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
094143790697496|82001|4,TTT.,....,TTT.-....,3,3,0
094545083001809|81001|2,TTTT,T...,TTTT-T...,4,4,0
094545088902899|83001|1,T...,....,T...-....,1,1,0
094550565050665|81001|1,TTT.,T...,TTT.-T...,3,3,0
094731201092683|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
094863701036408|81001|1,ETNE,EEEE,ETNE-EEEE,4,1,3
094868701036407|82001|2,TTTT,....,TTTT-....,4,4,0
094895700692193|80001|2,T.TT,TTTT,T.TT-TTTT,3,3,0
094901600060630|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
094901600060630|83001|2,TTTT,....,TTTT-....,4,4,0
094906403087559|82001|3,TTTT,....,TTTT-....,4,4,0
094906600060639|81001|2,TTNN,TTTT,TTNN-TTTT,4,2,1
094918406029609|82001|1,TTTT,....,TTTT-....,4,4,0
094918406029609|83001|2,T...,....,T...-....,1,1,0
094921107035905|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
094922409042619|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
094922409042619|87001|4,T...,....,T...-....,1,1,0
094930110994295|80001|1,TTTT,EEEE,TTTT-EEEE,4,4,0
094932101011109|83001|1,TUEE,....,TUEE-....,4,1,2
094937901061668|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
094964009092899|82001|2,TTTT,T...,TTTT-T...,4,4,0
094976709013159|81001|1,TTTT,TT..,TTTT-TT..,4,4,0
094983707082906|81001|3,TT..,....,TT..-....,2,2,0
094991203002958|80001|2,TEE.,NEN.,TEE.-NEN.,3,1,1
094991203002958|81001|1,TTTT,ETTT,TTTT-ETTT,4,4,0
095014880015503|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
095014880015503|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
095082132220800|87001|2,T...,....,T...-....,1,1,0
095164890012007|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
095324360998097|82001|1,TTTT,TT..,TTTT-TT..,4,4,0
095325450988097|81001|2,TTTT,EEEE,TTTT-EEEE,4,4,0
095325450988097|82001|1,TTTT,T...,TTTT-T...,4,4,0
095341520999393|81001|2,TTTT,EEEE,TTTT-EEEE,4,4,0
095341520999393|82001|2,TTTT,....,TTTT-....,4,4,0
095341820019303|79001|1,TTTT,.TTT,TTTT-.TTT,4,4,0
095481620965596|83001|2,TTT.,....,TTT.-....,3,3,0
095482510992294|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
