code,label,n_asec_PEIOOCC,n_monthly_2005_07
3610,Occupational therapy assistants and aides,138.0,190.0
3620,Physical therapist assistants and aides,433.0,1051.0
3630,Massage therapists,826.0,2123.0
3640,Dental assistants,1555.0,4466.0
3645,Medical assistants,2946.0,
3646,Medical transcriptionists,213.0,
3647,Pharmacy aides,194.0,
3648,Veterinary assistants and laboratory animal caretakers,310.0,
3649,Phlebotomists,626.0,
3650,,,13515.0
3655,Other healthcare support workers,994.0,
3700,First-line supervisors of correctional officers,283.0,723.0
3710,First-line supervisors of police and detectives,525.0,1862.0
3720,First-line supervisors of firefighting and prevention workers,268.0,785.0
3725,First-line supervisors of security workers,222.0,
3730,(sin etiqueta limpia — código SOC 33-1099),180.0,1612.0
3740,Firefighters,1470.0,4358.0
3750,Fire inspectors,116.0,337.0
3800,(sin etiqueta limpia — código SOC 33-3010),855.0,6657.0
3801,Bailiffs,58.0,
3802,Correctional officers and jailers,836.0,
3820,Detectives and criminal investigators,749.0,2165.0
3830,Fish and game wardens,,128.0
3840,Parking enforcement workers,103.0,129.0
3850,(sin etiqueta limpia — código SOC 33-3051),1526.0,10205.0
3860,(sin etiqueta limpia — código SOC 33-3052),,56.0
3870,Police officers,1881.0,
3900,Animal control workers,52.0,194.0
3910,Private detectives and investigators,529.0,1455.0
3920,,,13939.0
3930,Security guards and gambling surveillance officers,4461.0,
3940,Crossing guards and flaggers,301.0,922.0
3945,Transportation security screeners,240.0,
3946,School bus monitors,96.0,
3950,,,2906.0
3955,(sin etiqueta limpia — código SOC 33-909X),302.0,
3960,Other protective service workers,436.0,
4000,Chefs and head cooks,2313.0,5455.0
4010,First-line supervisors of food preparation and serving workers,2780.0,10641.0
4020,Cooks,11840.0,33483.0
4030,Food preparation workers,5483.0,12803.0
4040,Bartenders,2102.0,6836.0
4050,(sin etiqueta limpia — código SOC 35-3021),925.0,6167.0
4055,Fast food and counter workers,2393.0,
4060,(sin etiqueta limpia — código SOC 35-3022),576.0,6568.0
4110,Waiters and waitresses,9813.0,34332.0
4120,"Food servers, nonrestaurant",1155.0,2823.0
4130,Dining room and cafeteria attendants and bartender helpers,1776.0,6882.0
4140,Dishwashers,1674.0,5717.0
4150,"Hosts and hostesses, restaurant, lounge, and coffee shop",1716.0,4909.0
4160,"Food preparation and serving related workers, all other",27.0,64.0
4200,First-line supervisors of housekeeping and janitorial workers,1783.0,5307.0
4210,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",1280.0,3876.0
4220,Janitors and building cleaners,12811.0,37630.0
4230,Maids and housekeeping cleaners,8440.0,25494.0
4240,Pest control workers,451.0,1083.0
4250,(sin etiqueta limpia — código SOC 37-3010),3050.0,22070.0
4251,Landscaping and groundskeeping workers,3153.0,
4252,Tree trimmers and pruners,286.0,
4255,Other grounds maintenance workers,47.0,
4300,(sin etiqueta limpia — código SOC 39-1010),426.0,2495.0
4320,(sin etiqueta limpia — código SOC 39-1021),443.0,2719.0
4330,Supervisors of personal care and service workers,641.0,
4340,Animal trainers,292.0,726.0
4350,Animal caretakers,1387.0,2626.0
4400,Gambling services workers,493.0,2103.0
4410,(sin etiqueta limpia — código SOC 39-3021),4.0,128.0
4420,"Ushers, lobby attendants, and ticket takers",191.0,822.0
4430,(sin etiqueta limpia — código SOC 39-3090),486.0,3143.0
4435,Other entertainment attendants and related workers,630.0,
4460,(sin etiqueta limpia — código SOC 39-40XX),32.0,279.0
4461,"Embalmers, crematory operators and funeral attendants",52.0,
4465,"Morticians, undertakers, and funeral arrangers",199.0,
4500,Barbers,581.0,1543.0
4510,"Hairdressers, hairstylists, and cosmetologists",3741.0,12524.0
4520,(sin etiqueta limpia — código SOC 39-5090),767.0,3270.0
4521,Manicurists and pedicurists,749.0,
4522,Skincare specialists,261.0,
4525,Other personal appearance workers,72.0,
4530,"Baggage porters, bellhops, and concierges",407.0,1122.0
4540,Tour and travel guides,361.0,943.0
4550,,,2070.0
4600,Childcare workers,6363.0,25722.0
4610,(sin etiqueta limpia — código SOC 39-9021),3552.0,12752.0
4620,(sin etiqueta limpia — código SOC 39-9030),948.0,6073.0
4621,Exercise trainers and group fitness instructors,595.0,
4622,Recreation workers,405.0,
4640,Residential advisors,196.0,1067.0
4650,(sin etiqueta limpia — código SOC 39-9099),401.0,1702.0
4655,"Personal care and service workers, all other",378.0,
4700,First-Line supervisors of retail sales workers,15899.0,58517.0
