code,n_asec_PEIOOCC,label
5360,320,"Human resources assistants, except payroll and timekeeping"
5400,6610,Receptionists and information clerks
5410,610,Reservation and transportation ticket agents and travel clerks
5420,538,"Information and record clerks, all other"
5500,116,Cargo and freight agents
5510,2777,Couriers and messengers
5520,689,
5521,237,Public safety telecommunicators
5522,499,"Dispatchers, except police, fire, and ambulance"
5530,133,"Meter readers, utilities"
5540,533,Postal service clerks
5550,1602,Postal service mail carriers
5560,322,"Postal service mail sorters, processors, and processing machine operators"
5600,1186,"Production, planning, and expediting clerks"
5610,2861,"Shipping, receiving, and inventory clerks"
5620,3559,
5630,336,"Weighers, measurers, checkers, and samplers, recordkeeping"
5700,6105,
5710,613,Executive secretaries and executive administrative assistants
5720,136,Legal secretaries and administrative assistants
5730,217,Medical secretaries and administrative assistants
5740,5668,"Secretaries and administrative assistants, except legal, medical, and executive"
5800,178,
5810,1226,Data entry keyers
5820,350,Word processors and typists
5840,1315,Insurance claims and policy processing clerks
5850,309,"Mail clerks and mail machine operators, except postal service"
5860,6605,"Office clerks, general"
5900,151,"Office machine operators, except computer"
5910,42,Proofreaders and copy markers
5920,160,Statistical assistants
5940,2955,"Office and administrative support workers, all other"
6005,327,"First-line supervisors of farming, fishing, and forestry workers"
6010,95,Agricultural inspectors
6040,454,"Graders and sorters, agricultural products"
6050,5327,Miscellaneous agricultural workers
6100,120,
6115,148,Fishing and hunting workers
6120,142,Forest and conservation workers
6130,392,Logging workers
6200,3755,First-line supervisors of construction trades and extraction workers
6210,126,Boilermakers
6220,766,"Brickmasons, blockmasons, and stonemasons"
6230,6904,Carpenters
6240,800,"Carpet, floor, and tile installers and finishers"
6250,343,"Cement masons, concrete finishers, and terrazzo workers"
6260,11232,Construction laborers
6300,35,
6305,1217,Construction equipment operators
6320,984,
6330,910,"Drywall installers, ceiling tile installers, and tapers"
6355,4652,Electricians
6360,219,Glaziers
6400,312,Insulation workers
6410,1570,Painters and paperhangers
6420,1408,
6440,1435,
6441,140,Pipelayers
6442,1635,"Plumbers, pipefitters, and steamfitters"
6460,139,Plasterers and stucco masons
6500,21,Reinforcing iron and rebar workers
6515,1287,Roofers
6520,646,Sheet metal workers
6530,292,Structural iron and steel workers
6540,73,Solar photovoltaic installers
6600,273,"Helpers, construction trades"
6660,480,Construction and building inspectors
6700,160,Elevator and escalator installers and repairers
6710,208,Fence erectors
6720,163,Hazardous materials removal workers
6730,590,Highway maintenance workers
6740,69,Rail-track laying and maintenance equipment operators
6750,25,Septic tank servicers and sewer pipe cleaners
6765,204,Miscellaneous construction and related workers
6800,223,"Derrick, rotary drill, and service unit operators, oil and gas"
6820,79,
6825,123,"Earth drillers, except oil and gas"
6830,35,
6835,40,"Explosives workers, ordnance handling experts, and blasters"
6840,239,
6850,188,Underground mining machine operators
6920,30,"Roustabouts, oil and gas"
6940,183,
6950,237,Other extraction workers
7000,1300,"First-line supervisors of mechanics, installers, and repairers"
7010,887,"Computer, automated teller, and office machine repairers"
7020,635,Radio and telecommunications equipment installers and repairers
7030,47,Avionics technicians
7040,114,"Electric motor, power tool, and related repairers"
7100,92,"Electrical and electronics repairers, industrial and utility"
7110,21,"Electronic equipment installers and repairers, motor vehicles"
7120,174,Audiovisual equipment installers and repairers
7130,310,Security and fire alarm systems installers
7140,794,Aircraft mechanics and service technicians
7150,680,Automotive body and related repairers
7160,120,Automotive glass installers and repairers
7200,4450,Automotive service technicians and mechanics
7210,1862,Bus and truck mechanics and diesel engine specialists
7220,1236,Heavy vehicle and mobile equipment service technicians and mechanics
7240,249,Small engine mechanics
7260,472,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers"
7300,131,Control and valve installers and repairers
7315,2184,"Heating, air conditioning, and refrigeration mechanics and installers"
7320,238,Home appliance repairers
7330,2024,Industrial and refractory machinery mechanics
7340,3197,"Maintenance and repair workers, general"
7350,166,"Maintenance workers, machinery"
7360,247,Millwrights
7410,716,Electrical power-line installers and repairers
7420,810,Telecommunications line installers and repairers
7430,298,Precision instrument and equipment repairers
7510,198,"Coin, vending, and amusement machine servicers and repairers"
7540,132,Locksmiths and safe repairers
7550,24,Manufactured building and mobile home installers
7560,79,Riggers
7610,110,"Helpers--installation, maintenance, and repair workers"
7630,457,
7640,569,"Other installation, maintenance, and repair workers"
7700,3999,First-line supervisors of production and operating workers
7710,14,"Aircraft structure, surfaces, rigging, and systems assemblers"
7720,616,"Electrical, electronics, and electromechanical assemblers"
7730,32,Engine and other machine assemblers
7740,129,Structural metal fabricators and fitters
7750,5147,Other assemblers and fabricators
7800,1208,Bakers
7810,1555,"Butchers and other meat, poultry, and fish processing workers"
7830,66,"Food and tobacco roasting, baking, and drying machine operators and tenders"
7840,499,Food batchmakers
7850,75,Food cooking machine operators and tenders
7855,848,"Food processing workers, all other"
7900,204,
7905,211,Computer numerically controlled tool operators and programmers
7920,34,
7925,71,"Forming machine setters, operators, and tenders, metal and plastic"
7940,37,
7950,319,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic"
8000,190,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic"
8010,30,
8025,23,"Other machine tool setters, operators, and tenders, metal and plastic"
8030,1576,Machinists
8040,109,"Metal furnace operators, tenders, pourers, and casters"
8100,176,"Molders and molding machine setters, operators, and tenders, metal and plastic"
8130,199,Tool and die makers
8140,3196,"Welding, soldering, and brazing workers"
8200,43,
8210,11,
8220,923,
8225,963,Other metal workers and plastic workers
8250,78,Prepress technicians and workers
8255,733,Printing press operators
8256,61,Print binding and finishing workers
8300,830,Laundry and dry-cleaning workers
8310,150,"Pressers, textile, garment, and related materials"
8320,887,Sewing machine operators
8330,31,
8335,40,Shoe and leather workers
8350,388,"Tailors, dressmakers, and sewers"
8365,62,"Textile machine setters, operators, and tenders"
8400,16,
8410,25,
8420,20,
8450,141,Upholsterers
8460,58,
8465,38,"Other textile, apparel, and furnishings workers"
8500,316,Cabinetmakers and bench carpenters
8510,75,Furniture finishers
8530,160,"Sawing machine setters, operators, and tenders, wood"
8540,91,"Woodworking machine setters, operators, and tenders, except sawing"
8550,75,
8555,79,Other woodworkers
8600,252,"Power plant operators, distributors, and dispatchers"
8610,385,Stationary engineers and boiler operators
8620,549,Water and wastewater treatment plant and system operators
8630,268,Miscellaneous plant and system operators
8640,329,"Chemical processing machine setters, operators, and tenders"
8650,445,"Crushing, grinding, polishing, mixing, and blending workers"
8710,309,Cutting workers
8720,119,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders"
8730,75,"Furnace, kiln, oven, drier, and kettle operators and tenders"
8740,3948,"Inspectors, testers, sorters, samplers, and weighers"
8750,278,Jewelers and precious stone and metal workers
8760,378,Dental and ophthalmic laboratory technicians and medical appliance technicians
8800,1610,Packaging and filling machine operators and tenders
8810,813,Painting workers
8830,124,Photographic process workers and processing machine operators
8850,53,Adhesive bonding machine operators and tenders
8860,8,
8910,43,Etchers and engravers
8920,178,"Molders, shapers, and casters, except metal and plastic"
8930,93,"Paper goods machine setters, operators, and tenders"
8940,30,Tire builders
8950,302,Helpers--production workers
8965,2487,
8990,3487,Other production workers
9000,423,
9005,853,Supervisors of transportation and material moving workers
9030,813,Aircraft pilots and flight engineers
9040,158,Air traffic controllers and airfield operations specialists
9050,475,Flight attendants
9110,62,"Ambulance drivers and attendants, except emergency medical technicians"
9120,1353,
9121,792,"Bus drivers, school"
9122,712,"Bus drivers, transit and intercity"
9130,17996,Driver/sales workers and truck drivers
9140,1443,
9141,243,Shuttle drivers and chauffeurs
9142,1149,Taxi drivers
9150,659,"Motor vehicle operators, all other"
9200,133,
9210,166,Locomotive engineers and operators
9240,305,Railroad conductors and yardmasters
9260,23,
9265,40,Other rail transportation workers
9300,142,Sailors and marine oilers
9310,201,Ship and boat captains and operators
9350,361,Parking attendants
9360,201,
9365,240,Transportation service attendants
9410,195,Transportation inspectors
9415,181,Passenger attendants
9420,86,
9430,107,Other transportation workers
9510,329,Crane and tower operators
9520,97,
9560,40,
9570,100,"Conveyor, dredge, and hoist and winch operators"
9600,2906,Industrial truck and tractor operators
9610,1926,Cleaners of vehicles and equipment
9620,10989,"Laborers and freight, stock, and material movers, hand"
9630,137,Machine feeders and offbearers
9640,3448,"Packers and packagers, hand"
9645,4825,Stockers and order fillers
9650,122,Pumping station operators
9720,552,Refuse and recyclable material collectors
9750,118,
9760,182,Other material moving workers
9840,101,
