HRMONTH,teacher_0,teacher_1,employed_0,employed_1,PWSSWGT_0
4,0,0,1,1,4324.3637
4,0,0,1,1,4360.8908
4,0,0,1,1,4616.179
4,0,0,1,1,8061.6163
4,0,0,1,1,6330.4132
4,0,0,1,1,6889.5917
4,0,0,1,1,4635.4197
4,0,0,0,0,4634.7166
4,0,0,1,1,6132.6027
4,0,0,1,1,5991.4098
4,0,0,0,0,4778.7979
4,0,0,1,1,5448.2749
4,0,0,1,1,5970.7372
4,0,0,0,0,3996.09
4,0,0,0,0,4647.5429
4,0,0,0,0,3668.8709
4,0,0,1,1,3962.1351
4,0,0,1,1,4084.3465
4,0,0,1,1,5439.0195
4,0,0,0,0,4587.9041
4,0,0,1,1,5246.8149
4,0,0,0,0,4111.7338
4,0,0,1,1,5307.9249
4,0,0,0,0,5323.3443
4,0,0,1,1,4684.4765
4,0,0,0,0,4429.2959
4,0,0,1,1,4472.7715
4,0,0,0,0,4084.3465
4,0,0,0,0,3668.8709
4,0,0,0,0,4473.7775
4,0,0,0,0,4728.9485
4,0,0,1,1,5106.5697
4,0,0,1,1,5739.8962
4,0,0,1,1,4502.6287
4,0,0,1,1,4006.4325
4,0,0,0,0,4729.7982
4,0,0,0,0,3683.493
4,0,0,0,0,6912.6879
4,0,0,0,0,12156.8113
4,0,0,0,0,6192.0152
4,0,0,0,0,3683.493
4,0,0,0,0,5562.5381
4,0,0,1,1,4237.5475
4,0,0,1,0,5594.8372
4,0,0,0,0,6544.9907
4,0,0,1,0,5347.0391
4,0,0,1,1,7810.0494
4,0,0,1,1,5805.9216
4,0,0,1,1,6356.5042
4,0,0,0,1,0.0
4,0,0,1,0,4960.2926
4,0,0,1,1,5611.1643
4,0,0,1,1,6300.74
4,0,0,1,1,4308.3423
4,0,0,1,1,10308.2697
4,0,0,0,1,6398.8108
4,0,0,0,0,7246.9176
4,0,0,1,1,4916.145
4,0,0,1,1,4525.3831
4,0,0,1,1,8025.823
4,0,0,0,0,8025.823
4,0,0,0,0,3719.8482
4,0,0,0,0,3980.3748
4,0,0,0,0,5032.3095
4,0,0,0,0,4388.119
4,0,0,0,0,5792.8385
4,0,0,0,0,5839.3973
4,0,0,1,1,5491.4354
4,0,0,1,1,6852.591
4,0,0,1,1,5192.3056
4,0,0,0,0,5733.2537
4,0,0,1,1,4439.6712
4,0,0,1,1,8151.2921
4,0,0,0,0,3661.9846
4,0,0,1,1,7578.5729
4,0,0,1,1,10395.2285
4,0,0,1,1,5080.757
4,0,0,1,1,4426.6522
4,0,0,0,0,4517.4635
4,0,0,1,1,7418.2183
4,0,0,1,0,9602.1721
4,0,0,1,1,9964.1012
4,0,0,0,0,6912.6879
4,0,0,0,1,5080.757
4,0,0,1,1,4426.6522
4,0,0,1,0,3683.493
4,0,0,1,1,6177.3298
4,0,0,1,1,4901.9054
4,0,0,0,0,6463.9436
4,0,0,0,0,4874.5978
